,idiom,GPT_Fam_dominant,GPT_Fam_probs,Multilex_Zipf,Type,Subtype_MWE
1406,acid test,5,5.02,,MWE,
1486,across the board,6,6.06,,MWE,
1676,add fuel to the fire,6,5.83,,MWE,
2303,against the grain,6,5.55,,MWE,
2421,agony aunt,3,3.57,,MWE,
3080,all bets are off,6,5.73,,MWE,
3143,all over the map,5,4.41,,MWE,
3144,all over the place,6,6.28,,MWE,
5023,apples and oranges,6,6.33,,MWE,
6526,at the end of the day,7,6.5,,MWE,
8443,banana republic,4,4.42,,MWE,
9299,batten down the hatches,3,3.62,,MWE,
10561,behind closed doors,6,6.06,,MWE,
10566,behind someone's back,6,6.11,,MWE,
10572,behind the scenes,7,6.56,,MWE,
10691,bells and whistles,6,5.82,,MWE,
10738,below the belt,6,5.7,,MWE,
11134,between a rock and a hard place,6,5.98,,MWE,
11323,big cheese,4,4.22,,MWE,
11332,big fish,6,6.23,,MWE,
11366,big picture,6,6.24,,MWE,
11391,big wig,5,4.86,,MWE,
12085,black and blue,6,5.59,,MWE,
12108,black box,6,5.9,,MWE,
12413,blaze a trail,5,4.5,,MWE,
12503,blind alley,4,4.33,,MWE,
12671,blood and guts,5,4.78,,MWE,
12983,blue blood,4,4.25,,MWE,
14948,break someone's heart,6,6.43,,MWE,
14953,break the back of,5,4.49,,MWE,
14957,break the ice,6,6.12,,MWE,
15399,bring home the bacon,6,5.95,,MWE,
16626,burst someone's bubble,5,5.38,,MWE,
16635,bury the hatchet,6,5.84,,MWE,
16830,busy bee,6,6.06,,MWE,
17150,by the book,6,6.05,,MWE,
17542,call a spade a spade,5,4.69,,MWE,
18121,cap in hand,3,3.58,,MWE,
18832,carrot and stick,5,5.26,,MWE,
19172,cast the first stone,6,5.57,,MWE,
23127,close to home,6,5.71,,MWE,
23142,closed book,5,5.03,,MWE,
24626,come with the territory,5,5.2,,MWE,
26843,cook the books,5,4.53,,MWE,
28485,crash and burn,6,5.78,,MWE,
29102,crocodile tear,4,4.0,,MWE,
30125,cut and dried,5,5.37,,MWE,
30135,cut both ways,5,5.31,,MWE,
30142,cut from the same cloth,5,5.33,,MWE,
30245,cutting edge,6,6.22,,MWE,
30669,dark horse,5,5.04,,MWE,
31082,dead and buried,6,6.01,,MWE,
31105,dead in the water,6,5.7,,MWE,
33551,dig up dirt,5,5.37,,MWE,
35210,do someone proud,5,4.92,,MWE,
35244,do the right thing,6,6.15,,MWE,
35718,don't hold your breath,6,5.86,,MWE,
35770,doom and gloom,6,5.99,,MWE,
35969,double cross,6,5.78,,MWE,
35982,double dutch,4,4.07,,MWE,
36192,down in the dumps,6,5.85,,MWE,
36204,down the drain,6,5.93,,MWE,
36208,down the road,6,5.97,,MWE,
36212,down the tubes,5,4.77,,MWE,
36217,down to the wire,6,5.78,,MWE,
36498,draw a line in the sand,5,5.02,,MWE,
37011,drop the ball,6,5.92,,MWE,
37833,eager beaver,4,4.42,,MWE,
38204,eat someone alive,5,4.91,,MWE,
41262,everything but the kitchen sink,6,5.53,,MWE,
42442,face the music,6,5.95,,MWE,
42444,face to face,7,6.95,,MWE,
42812,fall from grace,5,5.46,,MWE,
42819,fall in line,6,5.84,,MWE,
43201,far and away,5,5.3,,MWE,
43383,fast and furious,6,6.14,,MWE,
43889,feel the pinch,5,5.02,,MWE,
44512,fight fire with fire,6,6.23,,MWE,
44689,fill someone's shoes,5,5.31,,MWE,
45168,fire in the belly,4,3.65,,MWE,
46057,flash in the pan,4,4.25,,MWE,
46251,flea market,6,6.12,,MWE,
46699,flower child,4,4.32,,MWE,
46870,fly a kite,6,6.15,,MWE,
46880,fly in the face of,3,3.51,,MWE,
46885,fly off the handle,6,5.54,,MWE,
47138,follow in someone's footsteps,6,6.0,,MWE,
47626,force someone's hand,5,5.16,,MWE,
48578,free and easy,5,4.63,,MWE,
49611,full of beans,4,4.03,,MWE,
49636,full speed ahead,6,6.04,,MWE,
49742,fun and games,6,6.1,,MWE,
51422,get a grip,6,5.85,,MWE,
51437,get a life,6,6.13,,MWE,
51447,get a rise out of,6,5.96,,MWE,
51493,get away with murder,6,5.92,,MWE,
51589,get it up,5,4.94,,MWE,
51620,get off the ground,5,5.43,,MWE,
51739,get stuck in,6,5.83,,MWE,
51753,get the boot,5,5.35,,MWE,
51773,get the picture,5,5.45,,MWE,
51794,get to grips with,6,5.96,,MWE,
51800,get to the bottom of,6,6.1,,MWE,
51811,get under someone's skin,6,5.89,,MWE,
52593,glass ceiling,6,5.93,,MWE,
52920,go all the way,6,6.04,,MWE,
53000,go for the jugular,5,4.64,,MWE,
53115,go the distance,5,4.97,,MWE,
53116,go the extra mile,6,6.22,,MWE,
53155,go to town,5,5.22,,MWE,
53182,go with the flow,7,6.53,,MWE,
53829,goose egg,3,3.52,,MWE,
54282,grandfather clock,6,5.96,,MWE,
54474,grass root,5,5.11,,MWE,
54560,graveyard shift,6,5.73,,MWE,
54598,gravy train,4,4.25,,MWE,
55174,grind to a halt,6,5.58,,MWE,
55742,guinea pig,7,6.68,,MWE,
57584,have a ball,5,5.13,,MWE,
57618,have a few,5,4.61,,MWE,
57641,have a heart,5,5.46,,MWE,
57883,have someone's number,4,4.03,,MWE,
58094,head for the hills,5,5.33,,MWE,
58123,head over heels,6,6.0,,MWE,
58237,heads will roll,5,4.54,,MWE,
58440,heart and soul,6,6.17,,MWE,
58460,heart of gold,6,6.02,,MWE,
59291,high and mighty,5,5.37,,MWE,
60032,hit the bottle,5,4.55,,MWE,
60045,hit the jackpot,6,6.2,,MWE,
60047,hit the nail on the head,6,6.08,,MWE,
60325,hold someone's hand,7,6.67,,MWE,
60333,hold the line,6,6.0,,MWE,
61338,hot and heavy,5,4.64,,MWE,
61412,hot potato,5,5.0,,MWE,
63762,in a nutshell,6,6.02,,MWE,
63824,in bed with,5,5.1,,MWE,
63828,in black and white,6,6.1,,MWE,
63849,in cold blood,6,5.96,,MWE,
64170,in someone's pocket,5,4.59,,MWE,
64211,in the bag,6,5.66,,MWE,
64219,in the black,5,4.49,,MWE,
64230,in the clear,6,5.91,,MWE,
64242,in the doghouse,6,5.5,,MWE,
64243,in the driver's seat,6,5.53,,MWE,
64244,in the driving seat,5,5.19,,MWE,
64255,in the fast lane,5,5.33,,MWE,
64257,in the final analysis,5,5.11,,MWE,
64269,in the hole,4,4.36,,MWE,
64288,in the loop,6,6.08,,MWE,
64321,in the red,5,4.49,,MWE,
64410,in your dreams,6,5.83,,MWE,
64412,in your face,6,5.94,,MWE,
67484,ivory tower,5,4.56,,MWE,
68248,join the club,6,5.68,,MWE,
68254,joined at the hip,5,4.36,,MWE,
68569,jump on the bandwagon,6,6.07,,MWE,
68589,jump through hoops,6,5.56,,MWE,
68974,keep a lid on,6,5.62,,MWE,
69097,keep tabs on,6,6.18,,MWE,
69103,keep the peace,6,6.02,,MWE,
69419,kick the bucket,5,5.04,,MWE,
69445,kicking and screaming,5,5.41,,MWE,
69744,kiss of death,5,4.93,,MWE,
70042,knock someone's socks off,6,5.65,,MWE,
70116,know the score,4,3.83,,MWE,
71987,left and right,7,6.99,,MWE,
72511,let the cat out of the bag,6,5.95,,MWE,
73117,light at the end of the tunnel,7,6.62,,MWE,
74799,look on the bright side,6,6.38,,MWE,
74816,look the other way,6,5.67,,MWE,
74817,look the part,6,5.52,,MWE,
75267,low profile,6,6.07,,MWE,
76522,make a killing,6,5.73,,MWE,
76542,make a move,6,5.92,,MWE,
76587,make a splash,6,5.73,,MWE,
76822,make the cut,6,5.87,,MWE,
78654,meat and potatoes,5,4.77,,MWE,
79156,melting pot,6,6.0,,MWE,
81738,moment of truth,6,6.02,,MWE,
81915,monkey business,6,5.93,,MWE,
82858,move heaven and earth,5,4.79,,MWE,
82875,move the goalposts,6,5.68,,MWE,
83107,muddy the waters,6,5.58,,MWE,
84782,neither here nor there,6,5.81,,MWE,
84902,nest egg,5,5.46,,MWE,
85528,night and day,6,6.0,,MWE,
85543,night owl,6,6.44,,MWE,
85910,no strings attached,6,6.08,,MWE,
87537,nuts and bolts,6,5.94,,MWE,
88007,off and running,5,5.22,,MWE,
88053,off the hook,6,5.98,,MWE,
88331,oil and water,6,6.09,,MWE,
88526,old flame,5,5.09,,MWE,
88753,on a roll,6,5.86,,MWE,
88754,on a shoestring,5,5.18,,MWE,
88769,on and off,6,6.35,,MWE,
88902,on the back burner,6,5.89,,MWE,
88904,on the back of,6,5.75,,MWE,
88906,on the ball,5,5.33,,MWE,
88919,on the cards,5,4.58,,MWE,
88944,on the fly,6,5.93,,MWE,
88976,on the mend,6,5.87,,MWE,
88981,on the nose,5,5.37,,MWE,
89008,on the rocks,6,5.83,,MWE,
89009,on the ropes,5,4.91,,MWE,
89012,on the same page,6,5.94,,MWE,
89015,on the shelf,6,5.69,,MWE,
89044,on the warpath,5,4.53,,MWE,
89051,on thin ice,6,6.01,,MWE,
89195,one of those things,6,6.33,,MWE,
89668,open the floodgates,6,5.8,,MWE,
90492,out of line,6,5.94,,MWE,
90505,out of order,7,6.62,,MWE,
90530,out of the blue,6,6.09,,MWE,
90531,out of the box,6,6.11,,MWE,
90538,out of the loop,6,5.99,,MWE,
90540,out of the picture,6,5.94,,MWE,
90545,out of the woods,5,5.46,,MWE,
90574,out to lunch,5,5.35,,MWE,
90983,over the hill,6,5.95,,MWE,
90987,over the moon,6,5.97,,MWE,
90991,over the top,6,6.16,,MWE,
91788,pack a punch,6,5.84,,MWE,
92550,par for the course,6,5.55,,MWE,
93094,pass the buck,6,5.82,,MWE,
93606,pay the piper,4,4.06,,MWE,
93765,peaches and cream,5,5.1,,MWE,
95488,pick someone's brain,6,5.54,,MWE,
95501,pick up the pieces,6,6.08,,MWE,
96122,pipe dream,5,5.42,,MWE,
96851,play with fire,6,6.14,,MWE,
97380,point the finger,6,5.93,,MWE,
97432,poison pill,4,3.68,,MWE,
98011,pop the question,6,5.94,,MWE,
98755,pound the pavement,4,4.08,,MWE,
98767,pour cold water on,4,3.71,,MWE,
99712,press the panic button,6,5.81,,MWE,
101714,pull the plug,6,5.94,,MWE,
102141,push someone's buttons,5,5.48,,MWE,
102143,push the envelope,5,4.97,,MWE,
102238,put down roots,5,4.37,,MWE,
102375,put the cart before the horse,5,4.9,,MWE,
102428,put words in someone's mouth,6,5.58,,MWE,
103570,raise the roof,5,5.34,,MWE,
104080,reach for the stars,6,5.83,,MWE,
108111,ring a bell,7,6.68,,MWE,
108243,rise and shine,6,6.15,,MWE,
108244,rise from the ashes,6,5.85,,MWE,
108593,rock bottom,6,6.01,,MWE,
108635,rock the boat,6,5.78,,MWE,
108673,rocket science,7,6.75,,MWE,
109282,rough around the edges,6,5.96,,MWE,
109349,round the bend,5,4.96,,MWE,
109681,rule the roost,5,4.72,,MWE,
109764,run a mile,6,5.69,,MWE,
109825,run out of steam,6,5.96,,MWE,
111079,save someone's skin,5,4.64,,MWE,
111944,scratch the surface,6,5.62,,MWE,
112887,see eye to eye,6,6.32,,MWE,
112916,see the light,5,5.4,,MWE,
112918,see the light of day,6,5.66,,MWE,
114188,set the wheels in motion,6,5.68,,MWE,
115434,shoot the messenger,5,5.33,,MWE,
115567,short and sweet,6,6.02,,MWE,
116073,shut the door on,6,6.06,,MWE,
116155,sick and tired,7,6.87,,MWE,
116412,sign on the dotted line,6,5.79,,MWE,
116610,silver bullet,5,5.39,,MWE,
116622,silver lining,6,6.1,,MWE,
116789,sing the praises of,5,4.91,,MWE,
116934,sink or swim,5,4.77,,MWE,
117029,sit on the fence,6,5.82,,MWE,
117064,sitting duck,6,5.61,,MWE,
117093,six feet under,5,5.38,,MWE,
117678,slap on the wrist,5,5.48,,MWE,
118483,smell a rat,4,4.19,,MWE,
118539,smoke and mirrors,5,5.17,,MWE,
118550,smoke screen,5,5.43,,MWE,
118617,smoking gun,5,5.38,,MWE,
118741,snake oil,4,4.45,,MWE,
119981,song and dance,6,5.51,,MWE,
121242,spill the beans,6,5.88,,MWE,
121384,spit it out,6,6.11,,MWE,
122532,stand up and be counted,4,4.04,,MWE,
123120,stay the course,5,5.35,,MWE,
123169,steal someone's thunder,5,5.35,,MWE,
123421,step on it,6,5.59,,MWE,
124700,strike a chord,5,5.23,,MWE,
124731,strike while the iron is hot,6,6.0,,MWE,
126755,swan song,4,4.09,,MWE,
127708,take a back seat,6,6.0,,MWE,
127710,take a bath,7,6.78,,MWE,
127733,take a dive,5,5.19,,MWE,
127744,take a hike,6,6.32,,MWE,
127941,take no prisoners,5,4.68,,MWE,
128065,take the bull by the horns,5,5.48,,MWE,
128066,take the cake,6,5.76,,MWE,
128072,take the fall,6,5.55,,MWE,
130238,the ball is in someone's court,5,4.62,,MWE,
130291,the buck stops here,3,3.54,,MWE,
130466,the icing on the cake,6,5.99,,MWE,
131129,things that go bump in the night,4,3.79,,MWE,
131709,throw the book at,5,5.2,,MWE,
131985,tie the knot,6,5.95,,MWE,
132467,tip the scales,6,5.71,,MWE,
132717,to die for,5,5.26,,MWE,
132809,to the bone,5,4.98,,MWE,
132833,to the tune of,6,5.65,,MWE,
132911,toe the line,5,5.17,,MWE,
133304,top dog,6,5.87,,MWE,
133583,touch and go,6,5.51,,MWE,
135827,turn over a new leaf,6,5.95,,MWE,
135841,turn the other cheek,6,5.88,,MWE,
135845,turn the tables,6,6.09,,MWE,
136225,twist someone's arm,5,5.28,,MWE,
137028,under a cloud,4,4.14,,MWE,
137085,under the microscope,6,5.85,,MWE,
137090,under the sun,6,5.6,,MWE,
137091,under the table,6,6.09,,MWE,
137094,under the weather,6,6.05,,MWE,
138530,up in the air,6,5.95,,MWE,
138538,up the ante,6,5.68,,MWE,
138548,up to here,5,4.42,,MWE,
138565,up to speed,6,5.92,,MWE,
140868,wake up and smell the coffee,6,5.83,,MWE,
140903,walk all over,6,5.73,,MWE,
140942,walk the plank,5,5.26,,MWE,
141557,watch this space,3,3.7,,MWE,
141726,water under the bridge,6,5.97,,MWE,
142985,wet behind the ears,5,4.74,,MWE,
143301,when the chips are down,5,4.8,,MWE,
144557,wipe the slate clean,6,5.78,,MWE,
144729,with a vengeance,5,4.92,,MWE,
144730,with a view to,5,5.03,,MWE,
144770,with open arms,6,6.12,,MWE,
146679,zebra crossing,7,6.62,,MWE,

